"","survey_datetime","catch_area_code","start_datetime","end_datetime","boat_count","latitude_decimal_degrees_wgs84","longitude_decimal_degrees_wgs84"
"1",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.36163,-122.76909
"2",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.371255,-122.757548
"3",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.388209,-122.717804
"4",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.393908,-122.701912
"5",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,3,48.398405,-122.68969
"6",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,6,48.400735,-122.68528
"7",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,4,48.411888,-122.681134
"8",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.419235,-122.692691
"9",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.419572,-122.735121
"10",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.410964,-122.822876
"11",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.40971,-122.831404
"12",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.42734,-122.953205
"13",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.400528,-123.031427
"14",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.403441,-123.043218
"15",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.436796,-123.048086
"16",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.501554,-123.151263
"17",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,4,48.562281,-123.185516
"18",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.594838,-123.184276
"19",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.61222,-123.179976
"20",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,3,48.618707,-123.176283
"21",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,11,48.623206,-123.17554
"22",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,11,48.639408,-123.177691
"23",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,3,48.663335,-123.185057
"24",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,3,48.675989,-123.18379
"25",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.685991,-123.148993
"26",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,6,48.682863,-123.134747
"27",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.671543,-123.103345
"28",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,4,48.667175,-123.08908
"29",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,4,48.659947,-123.075495
"30",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,3,48.645011,-123.065535
"31",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,6,48.63674,-123.059145
"32",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.633083,-123.044645
"33",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,3,48.637708,-123.036485
"34",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.665651,-123.015998
"35",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,4,48.681506,-122.997049
"36",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.697149,-122.976161
"37",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,6,48.705831,-122.96962
"38",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.737481,-122.966712
"39",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,4,48.775641,-122.977875
"40",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,15,48.782731,-122.91106
"41",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,3,48.781271,-122.896627
"42",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.754407,-122.868514
"43",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.748599,-122.871413
"44",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.738511,-122.919209
"45",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,5,48.73473,-122.917951
"46",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,3,48.728187,-122.892712
"47",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,8,48.725911,-122.877068
"48",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.713952,-122.845588
"49",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.708544,-122.82693
"50",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.71359,-122.785203
"51",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.725057,-122.70124
"52",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.713246,-122.646821
"53",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,1,48.687623,-122.604694
"54",2017-07-01 11:24:50,"07",2017-07-01 12:20:00,2017-07-01 13:33:00,2,48.673066,-122.59324
